Pasos - Plot 0	Amplitude - Plot 0	
7429.0	0.0	
7430.0	0.0	
7431.0	0.0	
7432.0	0.0	
7433.0	0.0	
7434.0	0.0	
7435.0	0.0	
7436.0	0.0	
7437.0	0.0	
7438.0	0.0	
7439.0	0.0	
7440.0	0.0	
7441.0	0.0	
7442.0	0.0	
7443.0	0.0	
7444.0	0.0	
7445.0	0.0	
7446.0	0.0	
7447.0	0.0	
7448.0	0.0	
7449.0	0.0	
7450.0	0.0	
7451.0	0.0	
7452.0	0.0	
7453.0	0.0	
7454.0	0.0	
7455.0	0.0	
7456.0	0.0	
7457.0	0.0	
7458.0	0.0	
7459.0	0.0	
7460.0	0.0	
7461.0	0.0	
7462.0	0.0	
7463.0	0.0	
7464.0	0.0	
7465.0	0.0	
7466.0	0.0	
7467.0	0.0	
7468.0	0.0	
7469.0	0.0	
7470.0	0.0	
7471.0	0.0	
7472.0	0.0	
7473.0	0.0	
7474.0	0.0	
7475.0	0.0	
7476.0	0.0	
7477.0	0.0	
7478.0	0.0	
7479.0	0.0	
7480.0	0.0	
7481.0	0.0	
7482.0	0.0	
7483.0	0.0	
7484.0	0.0	
7485.0	0.0	
7486.0	0.0	
7487.0	0.0	
7488.0	0.0	
7489.0	0.0	
7490.0	0.0	
7491.0	0.0	
7492.0	0.0	
7493.0	0.0	
7494.0	0.0	
7495.0	0.0	
7496.0	0.0	
7497.0	0.0	
7498.0	0.0	
7499.0	0.0	
7500.0	0.0	
7501.0	0.0	
7502.0	0.0	
7503.0	0.0	
7504.0	0.0	
7505.0	0.0	
7506.0	0.0	
7507.0	0.0	
7508.0	0.0	
7509.0	0.0	
7510.0	0.0	
7511.0	0.0	
7512.0	0.0	
7513.0	0.0	
7514.0	0.0	
7515.0	0.0	
7516.0	0.0	
7517.0	0.0	
7518.0	0.0	
7519.0	0.0	
7520.0	0.0	
7521.0	0.0	
7522.0	0.0	
7523.0	0.0	
7524.0	0.0	
7525.0	0.0	
7526.0	0.0	
7527.0	0.0	
7528.0	0.0	
7529.0	0.0	
7530.0	0.0	
7531.0	0.0	
7532.0	0.0	
7533.0	0.0	
7534.0	0.0	
7535.0	0.0	
7536.0	0.0	
7537.0	0.0	
